ticker,currency,company_name,exchange,exchange_short,timezone
CUK,USD,Carnival plc,New York Stock Exchange,NYSE,America/New_York
CMI,USD,Cummins Inc.,New York Stock Exchange,NYSE,America/New_York
DASH,USD,DoorDash Inc,New York Stock Exchange,NYSE,America/New_York
ESTC,USD,Elastic N.V.,New York Stock Exchange,NYSE,America/New_York
ERJ,USD,Embraer S.A.,New York Stock Exchange,NYSE,America/New_York
EFX,USD,Equifax Inc.,New York Stock Exchange,NYSE,America/New_York
EVRG,USD,"Evergy, Inc.",New York Stock Exchange,NYSE,America/New_York
FG,USD,FGL Holdings,New York Stock Exchange,NYSE,America/New_York
FSLY,USD,"Fastly, Inc.",New York Stock Exchange,NYSE,America/New_York
RACE,USD,Ferrari N.V.,New York Stock Exchange,NYSE,America/New_York
FIT,USD,"Fitbit, Inc.",New York Stock Exchange,NYSE,America/New_York
GCO,USD,Genesco Inc.,New York Stock Exchange,NYSE,America/New_York
GLOB,USD,Globant S.A.,New York Stock Exchange,NYSE,America/New_York
GDDY,USD,GoDaddy Inc.,New York Stock Exchange,NYSE,America/New_York
GRUB,USD,Grubhub Inc.,New York Stock Exchange,NYSE,America/New_York
GES,USD,"Guess', Inc.",New York Stock Exchange,NYSE,America/New_York
HNGR,USD,"Hanger, Inc.",New York Stock Exchange,NYSE,America/New_York
IVZ,USD,Invesco Ltd.,New York Stock Exchange,NYSE,America/New_York
JILL,USD,"J.Jill, Inc.",New York Stock Exchange,NYSE,America/New_York
LUB,USD,"Luby's, Inc.",New York Stock Exchange,NYSE,America/New_York
LDL,USD,"Lydall, Inc.",New York Stock Exchange,NYSE,America/New_York
MD,USD,"MEDNAX, Inc.",New York Stock Exchange,NYSE,America/New_York
MVO,USD,MV Oil Trust,New York Stock Exchange,NYSE,America/New_York
M,USD,"Macy's, Inc.",New York Stock Exchange,NYSE,America/New_York
MTZ,USD,"MasTec, Inc.",New York Stock Exchange,NYSE,America/New_York
MATX,USD,"Matson, Inc.",New York Stock Exchange,NYSE,America/New_York
MSB,USD,Mesabi Trust,New York Stock Exchange,NYSE,America/New_York
NP,USD,"Neenah, Inc.",New York Stock Exchange,NYSE,America/New_York
NNI,USD,"Nelnet, Inc.",New York Stock Exchange,NYSE,America/New_York
OSB,USD,Norbord Inc.,New York Stock Exchange,NYSE,America/New_York
NTR,USD,Nutrien Ltd.,New York Stock Exchange,NYSE,America/New_York
OIBR.C,USD,OI S A/S ADR,New York Stock Exchange,NYSE,America/New_York
SOL,USD,ReneSola Ltd,New York Stock Exchange,NYSE,America/New_York
REV,USD,"Revlon, Inc.",New York Stock Exchange,NYSE,America/New_York
SHOP,USD,Shopify Inc.,New York Stock Exchange,NYSE,America/New_York
SQ,USD,"Square, Inc.",New York Stock Exchange,NYSE,America/New_York
STN,USD,Stantec Inc.,New York Stock Exchange,NYSE,America/New_York
SWCH,USD,"Switch, Inc.",New York Stock Exchange,NYSE,America/New_York
TS,USD,Tenaris S.A.,New York Stock Exchange,NYSE,America/New_York
TEN,USD,Tenneco Inc.,New York Stock Exchange,NYSE,America/New_York
TX,USD,Ternium S.A.,New York Stock Exchange,NYSE,America/New_York
TXT,USD,Textron Inc.,New York Stock Exchange,NYSE,America/New_York
GDL,USD,The GDL Fund,New York Stock Exchange,NYSE,America/New_York
TSE,USD,Trinseo S.A.,New York Stock Exchange,NYSE,America/New_York
USB,USD,U.S. Bancorp,New York Stock Exchange,NYSE,America/New_York
UBS,USD,UBS Group AG,New York Stock Exchange,NYSE,America/New_York
UL,USD,Unilever PLC,New York Stock Exchange,NYSE,America/New_York
VER,USD,"VEREIT, Inc.",New York Stock Exchange,NYSE,America/New_York
VMW,USD,"VMware, Inc.",New York Stock Exchange,NYSE,America/New_York
VTR,USD,"Ventas, Inc.",New York Stock Exchange,NYSE,America/New_York
WMT,USD,Walmart Inc.,New York Stock Exchange,NYSE,America/New_York
WSO,USD,"Watsco, Inc.",New York Stock Exchange,NYSE,America/New_York
W,USD,Wayfair Inc.,New York Stock Exchange,NYSE,America/New_York
WK,USD,Workiva Inc.,New York Stock Exchange,NYSE,America/New_York
XL,USD,XL Group Ltd,New York Stock Exchange,NYSE,America/New_York
DAO,USD,"Youdao, Inc.",New York Stock Exchange,NYSE,America/New_York
AAN,USD,"Aaron's, Inc.",New York Stock Exchange,NYSE,America/New_York
ACN,USD,Accenture plc,New York Stock Exchange,NYSE,America/New_York
ASIX,USD,AdvanSix Inc.,New York Stock Exchange,NYSE,America/New_York
AYX,USD,"Alteryx, Inc.",New York Stock Exchange,NYSE,America/New_York
PLAN,USD,"Anaplan, Inc.",New York Stock Exchange,NYSE,America/New_York
MT,USD,ArcelorMittal,New York Stock Exchange,NYSE,America/New_York
ATHM,USD,Autohome Inc.,New York Stock Exchange,NYSE,America/New_York
ALV,USD,"Autoliv, Inc.",New York Stock Exchange,NYSE,America/New_York
AVLR,USD,"Avalara, Inc.",New York Stock Exchange,NYSE,America/New_York
AVTR,USD,"Avantor, Inc.",New York Stock Exchange,NYSE,America/New_York
BG,USD,Bunge Limited,New York Stock Exchange,NYSE,America/New_York
CEO,USD,CNOOC Limited,New York Stock Exchange,NYSE,America/New_York
CAL,USD,"Caleres, Inc.",New York Stock Exchange,NYSE,America/New_York
CARS,USD,Cars.com Inc.,New York Stock Exchange,NYSE,America/New_York
CB,USD,Chubb Limited,New York Stock Exchange,NYSE,America/New_York
CTVA,USD,"Corteva, Inc.",New York Stock Exchange,NYSE,America/New_York
CZZ,USD,Cosan Limited,New York Stock Exchange,NYSE,America/New_York
EVTC,USD,"EVERTEC, Inc.",New York Stock Exchange,NYSE,America/New_York
