ticker,currency,company_name,exchange,exchange_short,timezone
VVUS,USD,"VIVUS, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
VIA,USD,Viacom Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
VIAB,USD,Viacom Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
VRM,USD,"Vroom, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
YNDX,USD,Yandex N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
YAYO,USD,"YayYo, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ZUMZ,USD,Zumiez Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ZYXI,USD,"Zynex, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
IFMK,USD,iFresh Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
IQ,USD,"iQIYI, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NCNO,USD,"nCino, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
TRNC,USD,"tronc, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ACIU,USD,AC Immune SA,NASDAQ Stock Exchange,NASDAQ,America/New_York
ADTN,USD,"ADTRAN, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ABAX,USD,"Abaxis, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ABIL,USD,Ability Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFMD,USD,Affimed N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ABNB,USD,"Airbnb, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
KERN,USD,Akerna Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
KERNW,USD,Akerna Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKUS,USD,"Akouos, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ALKS,USD,Alkermes plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALLK,USD,Allakos Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMST,USD,Amesite Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
