ticker,compamy_name
DW8,Digital Wine Ventures Ltd
ENN,Elanor Investors Group
NOX,Noxopharm Ltd
ATEC,Betashares S&P/ASX Australian Technology ETF
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF
VML,Vital Metals Ltd
FZO,Family ZONE Cyber Safety Ltd
MCP,Mcpherson's Ltd
EMV,Emvision Medical Devices Ltd
ONT,1300 Smiles Ltd
WVOL,Ishares Edge MSCI World Minimum Volatility ETF
DOC,Doctor Care Anywhere Group Plc
3PL,3P Learning Ltd
PLT,Plenti Group Ltd
BTI,Bailador Technology Investments Ltd
VEQ,Vanguard Ftse Europe Shares ETF
HTG,Harvest Technology Group Ltd
SVM,Sovereign Metals Ltd
CEL,Challenger Exploration Ltd
BCI,BCI Minerals Ltd
MVE,Vaneck Vectors S&P/ASX Midcap ETF
APD,Apn Property Group
MAD,Mader Group Ltd
MGV,Musgrave Minerals Ltd
LBY,Laybuy Group Holdings Ltd
REX,Regional Express Holdings Ltd
VXR,Venturex Resources Ltd
RCE,Recce Pharmaceuticals Ltd
EOL,Energy One Ltd
GPR,Geopacific Resources Ltd
BOC,Bougainville Copper Ltd
FYI,FYI Resources Ltd
MAI,Mainstream Group Holdings Ltd
IXR,Ionic Rare EARTHS Ltd
IJH,Ishares S&P Mid-Cap ETF
KSC,K & S Corporation Ltd
PBP,Probiotec Ltd
EVO,Evolve Education Group Ltd
SOM,Somnomed Ltd
EGN,Engenco Ltd
COG,COG Financial Services Ltd
MRC,Mineral Commodities Ltd
FFX,Firefinch Ltd
RDY,Readytech Holdings Ltd
NXS,Next Science Ltd
MX1,Micro-X Ltd
MML,Medusa Mining Ltd
BKY,Berkeley Energia Ltd
EWC,Energy World Corporation Ltd
TIE,Tietto Minerals Ltd
D2O,Duxton Water Ltd
HZR,HAZER Group Ltd
MCA,Murray Cod Australia Ltd
VDCO,Vanguard Diversified Conservative INDEX ETF
CNEW,Vaneck Vectors China New Economy ETF
SOR,Strategic Elements Ltd
NEU,Neuren Pharmaceuticals Ltd
EAI,Ellerston Asian Investments Ltd
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund)
FOR,Forager Australian Shares Fund
NWF,Newfield Resources Ltd
SHJ,Shine Justice Ltd
IBX,Imagion Biosystems Ltd
EP1,E&P Financial Group Ltd
RFG,Retail Food Group Ltd
CGS,Cogstate Ltd
SES,Secos Group Ltd
BMN,Bannerman Resources Ltd
POS,Poseidon Nickel Ltd
MXC,MGC Pharmaceuticals Ltd
PPG,Pro-Pac Packaging Ltd
NZM,NZME Ltd
VRX,VRX Silica Ltd
WIC,Westoz Investment Company Ltd
ACDC,ETFs Battery Tech & Lithium ETF
PET,Phoslock Environmental Technologies Ltd
SVY,Stavely Minerals Ltd
IWLD,Ishares Core MSCI World All Cap ETF
MTO,Motorcycle Holdings Ltd
HLA,Healthia Ltd
BYE,Byron Energy Ltd
ITG,Intega Group Ltd
DNK,Danakali Ltd
YOJ,Yojee Ltd
CAI,Calidus Resources Ltd
GNP,Genusplus Group Ltd
MOC,Mortgage Choice Ltd
CAN,Cann Group Ltd
G1A,Galena Mining Ltd
ATU,Atrum Coal Ltd
IPD,Impedimed Ltd
AUT,Auteco Minerals Ltd
FLC,Fluence Corporation Ltd
VEE,Veem Ltd
MVB,Vaneck Vectors Australian Banks ETF
CUP,Countplus Ltd
PEK,Peak Resources Ltd
5GN,5G Networks Ltd
OGC,Oceanagold Corporation
BID,Bill Identity Ltd
JAN,Janison Education Group Ltd
MIH,MNC Media Investment Ltd
GDG,Generation Development Group Ltd
GNX,GENEX Power Ltd
BSX,Blackstone Minerals Ltd
